ProjectID,DuplicateOf,Reason,ArchiveAction,CompletionScore,DataQuality,Owner
"This session exposed critical weaknesses in our Git discipline",,"Session notes misclassified as project","ARCHIVE_IMMEDIATE",15,"Poor - not a valid project",""
"Despite setbacks",,"Fragment of session notes","ARCHIVE_IMMEDIATE",5,"Poor - invalid content",""
"This session should serve as a foundational case study",,"Fragment of session notes","ARCHIVE_IMMEDIATE",8,"Poor - invalid content",""
"🛠️ Fix Actions TakenActionDescription✅ Created sidebar-recovery-branchRestored logic from 64a589c safely✅ Claude selectively re-integrated sidebar UIRetained Claude scaffold while restoring Roam logic✅ Gizmo permanently assigned as GitOps managerNo Git push/merge without clear instruction✅ Merged fix/ui-dashboard-type-realignPhase types",,"Technical notes misclassified as project","ARCHIVE_IMMEDIATE",10,"Poor - not a valid project",""
"🔄 Pending Fixes & ImprovementsIDFixDescriptionF001Finalise Dashboard UI recoveryRestore layout",,"Technical task list misclassified as project","ARCHIVE_IMMEDIATE",12,"Poor - not a valid project",""
"header",,"Single word fragment","ARCHIVE_IMMEDIATE",5,"Poor - invalid content",""
"sidebar wiringF002CI rules to block missing depsPrevent repeat of lucide-react issueF003Add http://wt-safe-checkout.sh/Prevent uncommitted changes lossF004Add WT-5.1 PhaseStep for sidebar recoveryPhasePlan traceabilityF005Snapshot CI test for ProjectDashboardCatch blank screens in devF006Review & version all types/* filesLock canonical types per WT versioningF007Reintroduce ProjectSwitcher header UXToggle logic and layout refinementsF008GitHub branch policy enforcementDisallow direct push to main in prod modeF009Design MetaPlatform dashboard RAG panelFor Git/Gizmo status sync visibility",,"Technical task list misclassified as project","ARCHIVE_IMMEDIATE",8,"Poor - not a valid project",""
"🧠 Optional EnhancementsEnhancementBenefitGit PR automation for ClaudePrevents accidental pushes to mainwt-recovery-checker.tsDetects dangling local commits before they're lostLive Git/Gizmo sync viewerSee PR",,"Enhancement notes misclassified as project","ARCHIVE_IMMEDIATE",10,"Poor - not a valid project",""
"branch",,"Single word fragment","ARCHIVE_IMMEDIATE",5,"Poor - invalid content",""
"and sync status in dashboardAI-led missing dependency scanPreemptive deploy blocker for npm importsDashboard visual diff checkerCatch layout regressions using Puppeteer snapshots",,"Enhancement notes fragment","ARCHIVE_IMMEDIATE",8,"Poor - not a valid project",""
"🧭 MetaPlatform Architectural ImpactAreaRisk if UnresolvedResolutionGit IntegrityMetaPlatform loses control of AI scaffolding✅ Assign GitOps to Gizmo",,"Architectural notes misclassified as project","ARCHIVE_IMMEDIATE",12,"Poor - not a valid project",""
"Core Feature Retrofit",,"Standalone project with minimal structure","REVIEW_FOR_MERGE",41,"Fair - has some planning data","Gizmo"
"Address critical UI/UX and automation gaps",,"Fragment of project description","ARCHIVE_IMMEDIATE",8,"Poor - incomplete content",""
"Monday",,"Single word fragment","ARCHIVE_IMMEDIATE",5,"Poor - invalid content",""
"Jira",,"Single word fragment","ARCHIVE_IMMEDIATE",5,"Poor - invalid content",""
"This retrofit focuses on visual planning",,"Fragment of project description","ARCHIVE_IMMEDIATE",8,"Poor - incomplete content",""
"Design Principles",,"Standalone project - may duplicate WT-UX12","REVIEW_FOR_MERGE",41,"Fair - completion status available",""
"Wombat Track (WT) is an intelligent",,"Fragment of project description","ARCHIVE_IMMEDIATE",8,"Poor - incomplete content",""
"executing",,"Single word fragment","ARCHIVE_IMMEDIATE",5,"Poor - invalid content",""
"• Traceability is primary UX: Every action (AI prompt",,"Fragment of principle description","ARCHIVE_IMMEDIATE",8,"Poor - incomplete content",""
"export",,"Single word fragment","ARCHIVE_IMMEDIATE",5,"Poor - invalid content",""
"phase update) must be logged",,"Fragment of principle description","ARCHIVE_IMMEDIATE",8,"Poor - incomplete content",""
"• Planning and execution coexist: Wireframes must allow both tactical (Composer",,"Fragment of principle description","ARCHIVE_IMMEDIATE",8,"Poor - incomplete content",""
"blockers",,"Single word fragment","ARCHIVE_IMMEDIATE",5,"Poor - invalid content",""
